objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"13 Days: The Cuban Missile Crisis","177590","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198542","6.79273","7.35087","2.3592","590","6119","thing","13 Days: The Cuban Missile Crisis","2","2","45","45","30","2016","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"1775: Rebellion","128996","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198253","7.03004","7.68977","2.2458","352","5013","thing","1775: Rebellion","2","4","120","120","60","2013","2,3,4","2,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"1830: Railways & Robber Barons","421","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198048","7.28864","7.88518","4.1593","185","6761","thing","1830: Railways & Robber Barons","2","7","360","360","180","1986","3,4,5,6","4,5","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"1846: The Race for the Midwest","17405","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198379","6.92234","7.96107","4.0172","459","3127","thing","1846: The Race for the Midwest","3","5","240","240","240","2005","3,4,5","4","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"1960: The Making of the President","27708","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198063","7.26009","7.59992","3.2036","197","9733","thing","1960: The Making of the President","2","2","120","120","90","2007","2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"1989: Dawn of Freedom","26997","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198522","6.79873","7.78823","3.3121","574","3474","thing","1989: Dawn of Freedom","2","2","150","150","150","2012","2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"51st State: Master Set","192458","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198179","7.10666","7.66624","2.9527","289","7141","thing","51st State: Master Set","1","4","90","90","60","2016","1,2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"6 nimmt!","432","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198553","6.78325","6.91172","1.2135","598","26269","thing","6 nimmt!","2","10","45","45","45","1994","4,5,6,7,8,9,10","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"7 Wonders","68448","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197871","7.66095","7.7599","2.3316","51","106531","thing","7 Wonders","2","7","30","30","30","2010","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"7 Wonders Duel","173346","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197830","7.97532","8.10286","2.2165","16","83861","thing","7 Wonders Duel","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The 7th Continent","180263","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197840","7.88531","8.24317","2.8744","25","27934","thing","The 7th Continent","1","4","1000","1000","5","2017","1,2,3","1,2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Above and Below","172818","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198108","7.19619","7.44991","2.5325","232","18317","thing","Above and Below","2","4","90","90","90","2015","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Abyss","155987","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198242","7.04195","7.33038","2.3342","341","11792","thing","Abyss","2","4","60","60","30","2014","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Acquire","5","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198138","7.15985","7.34292","2.5047","259","22674","thing","Acquire","2","6","90","90","90","1964","3,4,5,6","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Adrenaline","202408","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198650","6.71658","7.09067","2.2963","681","7067","thing","Adrenaline","3","5","60","60","30","2016","3,4,5","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Advanced Squad Leader","243","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198182","7.10591","7.98086","4.7284","291","5620","thing","Advanced Squad Leader","2","2","480","480","120","1985","1,2","2","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Advanced Squad Leader: Starter Kit #1","9823","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198472","6.83518","7.81618","3.7458","533","5023","thing","Advanced Squad Leader: Starter Kit #1","2","2","120","120","120","2004","1,2","2","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Aeon's End","191189","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197894","7.58876","8.02119","2.75","71","13438","thing","Aeon's End","1","4","60","60","60","2016","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Aeon's End: Legacy","241451","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198191","7.10104","8.26247","2.7895","299","4986","thing","Aeon's End: Legacy","1","4","90","90","45","2019","1,2,3,4","2","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Aeon's End: The New Age","270633","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198562","6.78034","8.81218","2.8148","605","3186","thing","Aeon's End: The New Age","1","4","60","60","60","2019","1,2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Aeon's End: War Eternal","218417","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198011","7.33073","8.43567","2.875","161","6399","thing","Aeon's End: War Eternal","1","4","60","60","60","2017","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Age of Empires III: The Age of Discovery","22545","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198070","7.25019","7.54631","3.1278","201","8168","thing","Age of Empires III: The Age of Discovery","2","5","120","120","90","2007","3,4,5","4,5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Age of Industry","65901","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198614","6.73799","7.38589","3.3647","651","3289","thing","Age of Industry","2","5","120","120","120","2010","3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Age of Steam","4098","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197954","7.41773","7.76078","3.9145","119","9126","thing","Age of Steam","1","6","120","120","120","2002","3,4,5,6","4","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Agricola","31260","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197846","7.84739","7.95758","3.6396","29","73654","thing","Agricola","1","5","150","150","30","2007","1,2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Agricola (Revised Edition)","200680","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197891","7.59838","8.05834","3.5157","68","11148","thing","Agricola (Revised Edition)","1","4","120","120","30","2016","1,2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Agricola: All Creatures Big and Small","119890","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198133","7.16545","7.39392","2.3441","254","17446","thing","Agricola: All Creatures Big and Small","2","2","30","30","30","2012","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Airlines Europe","90419","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198310","6.97851","7.3157","2.4415","400","7632","thing","Airlines Europe","2","5","75","75","75","2011","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Akrotiri","154458","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198636","6.72336","7.26679","2.6533","670","5759","thing","Akrotiri","2","2","45","45","45","2014","2","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Alchemists","161970","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197934","7.46523","7.6805","3.8911","103","22252","thing","Alchemists","2","4","120","120","120","2014","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Alhambra","6249","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198382","6.91842","7.02721","2.1078","462","33333","thing","Alhambra","2","6","60","60","45","2003","2,3,4,5","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Alien Frontiers","48726","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198095","7.22093","7.42091","2.5733","221","14357","thing","Alien Frontiers","2","4","90","90","90","2010","2,3,4","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Altiplano","234487","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198159","7.12587","7.55305","3.3269","275","8695","thing","Altiplano","2","5","120","120","60","2017","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Amerigo","137408","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198243","7.03924","7.47211","3","342","7051","thing","Amerigo","2","4","90","90","90","2013","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Among the Stars","110277","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198513","6.8038","7.10144","2.2383","569","9053","thing","Among the Stars","2","4","30","30","30","2012","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Amun-Re","5404","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198249","7.0357","7.32596","3.0415","348","9399","thing","Amun-Re","3","5","90","90","90","2003","4,5","5","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Anachrony","185343","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197867","7.69364","8.08189","3.9871","47","13737","thing","Anachrony","1","4","120","120","30","2017","1,2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Android: Netrunner","124742","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197869","7.6807","7.87669","3.3831","49","40456","thing","Android: Netrunner","2","2","45","45","45","2012","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Antiquity","13122","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198099","7.21415","7.89239","4.3115","225","5395","thing","Antiquity","2","4","180","180","120","2004","2,3,4","2,3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"AquaSphere","159508","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198371","6.92756","7.27982","3.6813","452","9766","thing","AquaSphere","2","4","100","100","100","2014","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Arboretum","140934","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198126","7.17191","7.40991","2.1556","247","20210","thing","Arboretum","2","4","30","30","30","2015","2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Arcadia Quest","155068","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198006","7.34165","7.74171","2.5307","158","13992","thing","Arcadia Quest","2","4","60","60","60","2014","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Arcadia Quest: Inferno","179803","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198486","6.82735","8.05341","2.2778","544","6103","thing","Arcadia Quest: Inferno","2","4","120","120","60","2017","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Archipelago","105551","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198284","7.00366","7.35256","3.7342","378","9634","thing","Archipelago","2","5","240","240","30","2012","2,3,4,5","4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Architects of the West Kingdom","236457","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197901","7.57538","7.84622","2.7707","78","19883","thing","Architects of the West Kingdom","1","5","80","80","60","2018","1,2,3,4,5","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Argent: The Consortium","144797","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198351","6.94309","7.68303","3.7931","434","4485","thing","Argent: The Consortium","2","5","150","150","60","2015","2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Arkham Horror","15987","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198207","7.07735","7.26478","3.571","312","47567","thing","Arkham Horror","1","8","240","240","120","2005","1,2,3,4,5,6","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Arkham Horror (Third Edition)","257499","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198267","7.02006","7.76791","3.2061","363","7671","thing","Arkham Horror (Third Edition)","1","6","180","180","120","2018","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game","205637","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197834","7.93149","8.18802","3.4032","19","45345","thing","Arkham Horror: The Card Game","1","2","120","120","60","2016","1,2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Arkwright","154825","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198474","6.8346","7.87604","4.5701","535","3369","thing","Arkwright","2","4","240","240","120","2014","2,3,4","4","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Ascension: Deckbuilding Game","69789","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198523","6.79828","7.03216","2.1519","575","12407","thing","Ascension: Deckbuilding Game","1","4","30","30","30","2010","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Ascension: Storm of Souls","108784","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198645","6.72","7.31153","2.3311","677","5185","thing","Ascension: Storm of Souls","1","4","30","30","30","2011","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Ashes: Rise of the Phoenixborn","167400","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198503","6.81038","7.30798","2.9198","560","8920","thing","Ashes: Rise of the Phoenixborn","2","4","120","120","30","2015","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"At the Gates of Loyang","39683","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198173","7.11578","7.38361","3.131","284","12226","thing","At the Gates of Loyang","1","4","120","120","60","2009","1,2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Automobile","39351","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198360","6.93839","7.3373","3.5261","442","5083","thing","Automobile","3","5","120","120","120","2009","3,4,5","5","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"AuZtralia","231581","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198627","6.73181","7.43053","2.8991","661","4755","thing","AuZtralia","1","4","120","120","30","2018","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Awkward Guests","188866","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198326","6.96286","7.76015","2.4","414","5602","thing","Awkward Guests","1","8","75","75","45","2016","2,3,4,5,6","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Azul","230802","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197865","7.72155","7.84422","1.7658","45","68563","thing","Azul","2","4","45","45","30","2017","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Azul: Stained Glass of Sintra","256226","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198187","7.1031","7.44835","1.9701","296","11785","thing","Azul: Stained Glass of Sintra","2","4","45","45","30","2018","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Azul: Summer Pavilion","287954","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198065","7.25856","7.86037","1.9744","199","8488","thing","Azul: Summer Pavilion","2","4","45","45","30","2019","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"BANG! The Dice Game","143741","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198492","6.82234","6.9643","1.2745","550","29411","thing","BANG! The Dice Game","3","8","15","15","15","2013","5,6,7,8","6,7","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Bärenpark","219513","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198174","7.11562","7.36411","1.6544","285","14535","thing","Bärenpark","2","4","45","45","30","2017","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Barrage","251247","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197948","7.4376","8.12259","3.9817","113","6063","thing","Barrage","1","4","120","120","60","2019","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Baseball Highlights: 2045","151022","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198368","6.9313","7.56518","2.2109","449","4285","thing","Baseball Highlights: 2045","1","4","45","45","45","2015","1,2,4","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Battle Line","760","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198090","7.22497","7.41803","1.9022","218","18880","thing","Battle Line","2","2","30","30","30","2000","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Battle of Five Armies","135219","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198435","6.86918","7.87431","3.5615","504","4844","thing","The Battle of Five Armies","2","2","240","240","90","2014","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"BattleCON: Devastation of Indines","123123","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198244","7.03904","7.93094","3.0872","343","4524","thing","BattleCON: Devastation of Indines","1","5","45","45","45","2013","1,2,3,4,5","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"BattleLore","25417","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198240","7.04528","7.36722","2.7643","339","10748","thing","BattleLore","2","2","60","60","60","2006","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"BattleLore (Second Edition)","146439","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198096","7.21963","7.76368","2.6915","222","8994","thing","BattleLore (Second Edition)","2","2","90","90","45","2013","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Battlestar Galactica: The Board Game","37111","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197900","7.57948","7.74235","3.2388","77","35035","thing","Battlestar Galactica: The Board Game","3","6","180","180","120","2008","4,5,6","5","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Belfort","50750","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198418","6.88323","7.25141","3.0479","491","6714","thing","Belfort","2","5","120","120","120","2011","2,3,4,5","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Betrayal at House on the Hill","10547","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198440","6.86546","7.0656","2.3845","508","55500","thing","Betrayal at House on the Hill","3","6","60","60","60","2004","3,4,5,6","5,6","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Betrayal Legacy","240196","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198334","6.95387","7.89058","2.8491","420","6862","thing","Betrayal Legacy","3","5","90","90","45","2018","3,4,5","5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Between Two Castles of Mad King Ludwig","258036","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198529","6.79746","7.36578","2.1899","579","5933","thing","Between Two Castles of Mad King Ludwig","2","7","60","60","45","2018","3,4,5,6,7","6","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Between Two Cities","168435","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198510","6.80615","7.03492","1.8199","567","11344","thing","Between Two Cities","1","7","25","25","25","2015","3,4,5,6,7","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Biblios","34219","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198261","7.02377","7.19552","1.6797","358","18157","thing","Biblios","2","4","30","30","30","2007","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Black Orchestra","156858","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198385","6.91754","7.53069","2.3784","463","6735","thing","Black Orchestra","1","5","90","90","90","2016","1,2,3,4,5","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Blackout: Hong Kong","262215","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198430","6.87106","7.53455","3.4887","501","5000","thing","Blackout: Hong Kong","1","4","150","150","75","2018","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Blokus","2453","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198584","6.76557","6.88961","1.7728","624","29231","thing","Blokus","2","4","20","20","20","2000","2,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Blood Bowl (2016 edition)","212445","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198394","6.90797","8.09031","3.475","471","4375","thing","Blood Bowl (2016 edition)","2","2","120","120","45","2016","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Blood Bowl (Third Edition)","712","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198257","7.02431","7.53859","2.9812","356","6318","thing","Blood Bowl (Third Edition)","2","2","180","180","180","1994","2","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Blood Bowl: Living Rulebook","15985","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198198","7.0961","7.85376","3.1711","305","3076","thing","Blood Bowl: Living Rulebook","2","2","120","120","120","2004","2","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Blood Bowl: Team Manager – The Card Game","90137","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198178","7.10966","7.3846","2.3339","288","13309","thing","Blood Bowl: Team Manager – The Card Game","2","4","120","120","60","2011","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Blood Rage","170216","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197850","7.82176","8.00167","2.8829","33","37819","thing","Blood Rage","2","4","90","90","60","2015","3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Blue Moon City","21882","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198578","6.7686","7.03553","2.2977","619","7774","thing","Blue Moon City","2","4","50","50","30","2006","2,3,4","3,4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Bohnanza","11","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198361","6.93586","7.03668","1.6733","443","54183","thing","Bohnanza","2","7","45","45","45","1997","3,4,5,6,7","5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Bora Bora","127060","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198062","7.26362","7.56257","3.7364","196","11719","thing","Bora Bora","2","4","120","120","60","2013","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Brass: Birmingham","224517","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197807","8.30778","8.63998","3.9168","3","22085","thing","Brass: Birmingham","2","4","120","120","60","2018","2,3,4","3,4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Brass: Lancashire","28720","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197832","7.95036","8.1615","3.8627","18","23656","thing","Brass: Lancashire","2","4","120","120","60","2007","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Brew Crafters","139898","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198596","6.75795","7.47176","3.5839","635","4374","thing","Brew Crafters","2","5","90","90","90","2013","2,3,4,5","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Bridge","2181","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198620","6.73493","7.45986","3.8507","656","1815","thing","Bridge","4","4","60","60","60","1908","4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Britannia","240","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198656","6.71088","7.20503","3.1689","686","5678","thing","Britannia","3","5","300","300","180","1986","4","4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Broom Service","172308","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198393","6.90917","7.20151","2.4115","470","12300","thing","Broom Service","2","5","75","75","30","2015","2,3,4,5","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Bruges","136888","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198125","7.17287","7.43752","2.75","246","10778","thing","Bruges","2","4","60","60","60","2013","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
