objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"My Little Scythe","226320","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198594","6.75832","7.39704","2","633","7772","thing","My Little Scythe","1","6","60","60","45","2017","1,2,3,4,5,6","4","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Myrmes","126792","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198446","6.8609","7.29016","3.449","514","6297","thing","Myrmes","2","4","120","120","60","2012","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mysterium","181304","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198112","7.19067","7.32748","1.9067","235","44852","thing","Mysterium","2","7","42","42","42","2015","3,4,5,6,7","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mystic Vale","194607","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198291","6.9973","7.29903","2.2479","384","12441","thing","Mystic Vale","2","4","45","45","45","2016","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Mythic Battles: Pantheon","186751","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198195","7.09815","8.48071","3.0101","303","5072","thing","Mythic Battles: Pantheon","2","4","90","90","60","2017","2,3,4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Napoleon's Triumph","18098","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198528","6.79764","7.98126","3.6409","578","2843","thing","Napoleon's Triumph","2","2","180","180","180","2007","2","2","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Nations","126042","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197982","7.37652","7.65017","3.5345","140","11836","thing","Nations","1","5","200","200","40","2013","1,2,3,4,5","3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Navegador","66589","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198088","7.22765","7.55571","3.0968","216","7525","thing","Navegador","2","5","90","90","60","2010","2,3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Near and Far","195421","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197984","7.37176","7.83712","2.8175","142","14261","thing","Near and Far","2","4","120","120","90","2017","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Nemesis","167355","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197847","7.84","8.43004","3.3386","30","13206","thing","Nemesis","1","5","180","180","90","2018","1,2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Nemo's War (Second Edition)","187617","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198162","7.12316","8.01892","3.0903","277","7930","thing","Nemo's War (Second Edition)","1","4","120","120","60","2017","1","1","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"The Networks","72321","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198501","6.81462","7.23178","2.5699","558","8000","thing","The Networks","1","5","90","90","60","2016","1,2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Neuroshima Hex! 3.0","21241","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198145","7.1541","7.40689","2.61","263","13337","thing","Neuroshima Hex! 3.0","1","4","30","30","30","2006","2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"New Frontiers","255692","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198662","6.70846","7.65636","2.8525","692","2822","thing","New Frontiers","2","5","75","75","45","2018","2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Newton","244711","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198269","7.01839","7.6212","3.4069","365","5165","thing","Newton","1","4","90","90","90","2018","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Nexus Ops","15363","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198357","6.93946","7.21814","2.2282","440","10628","thing","Nexus Ops","2","4","90","90","90","2005","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Nippon","154809","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198184","7.1057","7.70815","3.7816","293","4391","thing","Nippon","2","4","120","120","60","2015","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"No Thanks!","12942","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198358","6.93943","7.05496","1.1407","441","26412","thing","No Thanks!","3","7","20","20","20","2004","3,4,5,6","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Not Alone","194879","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198632","6.73007","7.02654","1.9441","666","11380","thing","Not Alone","2","7","45","45","30","2016","3,4,5,6,7","4,5","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Notre Dame","25554","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198155","7.1359","7.3498","2.7504","271","11933","thing","Notre Dame","2","5","75","75","45","2007","2,3,4,5","3,4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Nusfjord","234277","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198337","6.95102","7.59128","2.8655","423","5592","thing","Nusfjord","1","5","100","100","20","2017","1,2,3,4,5","1,3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Oh My Goods!","183840","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198574","6.7707","7.01733","2.2944","616","16314","thing","Oh My Goods!","2","4","30","30","30","2015","2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"On Mars","184267","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197905","7.5552","8.34597","4.6176","81","8717","thing","On Mars","1","4","150","150","90","2020","1,2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"One Deck Dungeon","179275","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198551","6.78498","7.11692","2.0337","597","15339","thing","One Deck Dungeon","1","2","45","45","30","2016","1,2","1","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"One Night Ultimate Werewolf","147949","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198302","6.9854","7.15574","1.3961","393","34484","thing","One Night Ultimate Werewolf","3","10","10","10","10","2014","4,5,6,7,8,9,10","6,7,8","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"One Night Ultimate Werewolf Daybreak","163166","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198410","6.88881","7.39154","1.4396","485","11461","thing","One Night Ultimate Werewolf Daybreak","3","7","10","10","10","2015","4,5,6,7","5,6,7","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Onirim (Second Edition)","156336","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198498","6.81655","7.11912","1.5721","556","10822","thing","Onirim (Second Edition)","1","2","15","15","15","2014","1,2","1","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Onitama","160477","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198107","7.1964","7.4182","1.6746","231","21024","thing","Onitama","2","2","20","20","15","2014","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ora et Labora","70149","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197969","7.3993","7.70601","3.9056","131","11845","thing","Ora et Labora","1","4","180","180","60","2011","1,2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Oracle of Delphi","193558","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198507","6.8076","7.29832","3.0093","564","5627","thing","The Oracle of Delphi","2","4","100","100","70","2016","2,3,4","3,4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Orléans","164928","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197838","7.88893","8.08508","3.0483","23","24328","thing","Orléans","2","4","90","90","90","2014","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Others","172047","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198668","6.70671","7.40611","3.0412","697","6945","thing","The Others","2","5","90","90","90","2016","2,3,4,5","5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
